Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ho_1,ho_2,ho_3,lo_1,lo_2,lo_3
SIG_09g21060,12219.0562886075,-0.930421223072606,0.143423670461791,-6.48722222821984,8.74333307707744e-11,1.45296709074873e-06,15674.2185962561,15810.0971770405,16599.9431013444,8137.21900933869,8337.30872554476,8755.55112212058
SIG_07g06300,24.4144490935676,-3.39341077824557,0.611091678977924,-5.55303057623235,2.80758942114661e-08,0.000233282605003071,47.9366478749166,39.8573878412785,46.0378770639505,3.84284250736183,3.17168731633709,5.64025195756103
SIG_08g14050,434.769029813601,-1.85199539895125,0.35627847923263,-5.19816802558539,2.01262166942837e-07,0.00111485823008535,518.781055890764,957.599292494308,566.547752440044,177.731465965485,158.584365816855,229.370246274149
SIG_03g05330,131.194696530088,-1.40825600692949,0.278291241163039,-5.06036769624544,4.18448733183589e-07,0.00173844526201122,166.180379299711,207.462813635373,198.24473592844,77.8175607740772,61.3192881158504,76.143401427074
SIG_03g03290,102.878616517185,-1.797651032597,0.36595310790634,-4.91224420221914,9.00398108076553e-07,0.00299256315200323,166.180379299711,193.155033384658,120.262209473177,42.2712675809802,38.0602477960451,57.3425615685372
SIG_06g10340,145.179729111478,-4.05432980900811,0.841885885984188,-4.81577120665052,1.46632457685829e-06,0.00304592272727887,625.306940057246,70.5169169499544,125.899500542232,22.0963444173306,8.45783284356557,18.8008398585368
SIG_06g15250,25.0407606566071,-3.42102410339289,0.710089115210858,-4.81773911205079,1.45194041998677e-06,0.00304592272727887,67.1113070248833,32.7034977159209,37.5819404603678,1.92142125368092,5.28614552722848,5.64025195756103
SIG_12g11940,41.4488390549657,-1.91279116254449,0.392791775860664,-4.86973322787446,1.11749014585651e-06,0.00304592272727887,64.9807893415537,69.4949326463318,62.0102017596068,18.2535019099687,17.9728947925768,15.9807138797563
SIG_13g01510,1751.94042847719,-1.22575483057092,0.261409382005295,-4.68902386428535,2.74511377008312e-06,0.00506870007013792,2019.73076379649,2952.51265316548,2391.1509617909,1244.12026175839,929.304383686767,974.823546665132
SIG_06g10650,75.7000697384965,6.21073557127352,1.33993086038815,4.63511644882513,3.56736600720941e-06,0.00592824883078059,2.13051768332963,2.04396860724505,1.87909702301839,4.80355313420229,403.861518280256,39.4817637029272
SIG_09g08680,130.432705076265,-2.35036801280601,0.530134752458329,-4.43352940343363,9.27028577553449e-06,0.0140048735470757,330.230240916092,102.198430362253,221.73344871617,33.6248719394161,58.1476007995133,36.6616377241467
SIG_02g08040,1395.87802331688,-1.73151918014478,0.39912000205247,-4.33834228111962,1.43561452537683e-05,0.0198808684855935,1481.77504875576,3052.66711492049,1902.58573580612,885.775197946903,488.439846715912,564.025195756103
SIG_04g01480,139.876694250164,-1.36754209571071,0.321164641555388,-4.25807177616987,2.06197750055031e-05,0.0263584170031885,253.531604316226,198.26495490277,153.146407375999,83.5818245351199,79.2921829084273,71.4431914624398
